Person,Responsibility,imdbID
Alexander Jorgensen,story,tt1664037
Harry Baweja,story,tt6246170
Jyoti Deshpande,story,tt6246170
Joseph Arco,story,tt3327138
Joel Ross,story and screenplay,tt2379386
Nicky Mascine,original concept,tt1262948
Nathan Mayfield,original concept,tt1262948
Fiona McGary,race script,tt1262948
Adam Zielinski,story,tt1490724
Pierre Menard,novel,tt2049383
JoAnne Pettry,created by,tt2795754
Trent Pettry,created by,tt2795754
Darry Logan,head writer,tt0926058
Mitali Singh Baghel,original idea,tt5147294
Cesare Pavese,book,tt2377700
Adriano Bolzoni,screenplay,tt0073871
Luigi Latini de Marchi,screenplay,tt0073871
George Dewhurst,scenario,tt3677232
Arthur T. Horman,screenplay,tt0027564
Paul Perez,story,tt0027564
Ewart Adamson,story,tt0027564
Arthur T. Horman,adaptation,tt0027564
Bob Ogle,story,tt0149587
Glan Heisch,story,tt0149587
Robert Presnell Sr.,screenplay,tt0039463
Raoul Whitfield,"story ""Inside Job""",tt0039463
Peter Milne,additional dialogue,tt0039463
Tod Dockstader,story,tt0056252
Rosemary Davies,screenplay,tt0067725
Philip Saville,story,tt0067725
David Marmor,story,tt2150497
Sebastian Barry,based on the novel by,tt3344694
Steve H. Mehoff,script,tt0152998
Mike Gagerman,story by,tt2758904
Andrew Waller,story by,tt2758904
Mike Gagerman,screenplay by,tt2758904
Andrew Waller,screenplay by,tt2758904
Scot Armstrong,screenplay by,tt2758904
Frank Roland Conklin,scenario,tt0012282
Scott Darling,story,tt0012282
Richard Goldstone,screenplay,tt0385731
Roy James,screenplay,tt0385731
Ellis Parker Butler,original story,tt0385731
Paul Armstrong,play,tt0025093
Joseph Ernest Peat,story,tt0025093
Stuart Anthony,screenplay,tt0025093
Henry Johnson,screenplay,tt0025093
Lois Zellner,screenplay,tt0181748
Lois Zellner,story,tt0181748
Hans Werner Kettenbach,novel,tt0096935
Laird Koenig,screenplay,tt0096935
Jillian Jensen,storyline,tt4451152
Mea Reichert,play,tt0440614
Olga Printzlau,story,tt1293663
Roy Vera Cruz,story,tt0417422
Ben Feleo,screenplay,tt0417422
Ivan Olbracht,novel,tt0149675
Karel Steklý,screenplay,tt0149675
Jarred King,creator,tt1450670
Will Thomas,creator,tt1450670
James Boring,screenplay,tt3901530
Nunnally Johnson,story,tt4861962
Roland West,stage production,tt0016123
Crane Wilbur,stage play,tt0016123
Willard Mack,scenario,tt0016123
Albert Kenyon,scenario,tt0016123
C. Gardner Sullivan,titles by,tt0016123
Roland West,adapted by,tt0016123
Hugo Stiglitz,story,tt0121301
Juan Manuel Soler Palavicini,story,tt0121301
Hugo Stiglitz,adaptation,tt0121301
Juan Manuel Soler Palavicini,adaptation,tt0121301
David Kendall,book,tt0092205
Dante Cross,story,tt0193464
Michael Winner,screenplay,tt0055463
Donald Barthelme,short story,tt0376165
Robert Eddy,story,tt0783830
Al Giebler,titles,tt0783830
Clarence Hennecke,story,tt0783830
Harry McCoy,story,tt0783830
Omar Walker,story,tt2191926
Horace Ové,screenplay,tt0075098
Samuel Selvon,screenplay,tt0075098
Henley Kim,story,tt4462630
Skylah Yeon,story,tt4462630
Hans Hellmut Kirst,novel,tt0047789
Torsten Quensel,scenario,tt0039922
Francis Carco,story,tt0039922
Roger Richebé,story,tt0039922
Ladislas Fodor,play,tt0035183
Gordon Wellesley,adaptation,tt0035183
Gordon Wellesley,screenplay,tt0035183
Brock Williams,adaptation,tt0035183
Brock Williams,screenplay,tt0035183
Antonia Ridge,novel,tt0053251
Raza Burgee,story,tt1964705
Magdy Ahmed Aly,screenplay,tt0204252
Emer Gillespie,story,tt1580296
Elizabeth Karr,story,tt1580296
Joshua Sienkiewicz,story,tt3855864
Harry Dittmar,story,tt0013531
James Oliver Curwood,novel,tt0055232
Dwight Hauser,additional narration material,tt0055232
Jay Lind,story,tt0275733
Anna-Leena Härkönen,screenplay,tt1528765
Henry Lehrman,scenario,tt0405075
Youssef El Sebai,novel,tt0310600
Abu Seoud El-Ibiary,dialogue,tt0310600
Abu Seoud El-Ibiary,screenplay,tt0310600
Theodore Dreiser,novel,tt0021607
Samuel Hoffenstein,screenplay,tt0021607
M.J. Farrell,play,tt4143998
John Perry,play,tt4143998
Vjekoslav Katusin,story,tt5293310
Claudio Lattanzi,story,tt0156706
Sheila Goldberg,story,tt0156706
Daniele Stroppa,screenplay,tt0156706
Sheila Goldberg,dialogue,tt0156706
Erik Zimen,screenplay,tt1418179
Bo Landin,screenplay,tt1418179
Isadore Bernstein,scenario,tt0014893
Walter J. Coburn,story,tt0014893
Álvaro Rodríguez,additional material,tt1100119
René Clair,adaptation,tt0017292
Armand Mercier,novel,tt0017292
Sanpo Oh'edo,screenplay,tt2474378
Toshihide Yamanouchi,screenplay,tt2474378
Kristen Danielle,script doctor,tt6489820
John Millington Synge,play,tt0395247
Anthony Difranco,story,tt2735168
Donnie O'Connor,story,tt3341758
Tabrez Noorani,story,tt3823392
Ritesh Shah,hindi dialogue,tt3823392
Lynn Mancinelli,additional dialogue written by,tt2401866
Adam Church,contributing writer,tt1424801
Jay Cipriani,screenplay,tt1489248
Min-young Shim,screenplay,tt0996433
Tom Boyle,story,tt2125681
Lina Bunte,dialogue,tt1555031
Jay Gish,dialogue,tt1555031
Sarah Rose Graber,dialogue,tt1555031
Matt Hendricks,story,tt1555031
Brian Kash,dialogue,tt1555031
Sean Keith,dialogue,tt1555031
Angie McMahon,creator,tt1555031
Kevin Pomeroy,dialogue,tt1555031
Cynthia Shur,dialogue,tt1555031
Andrew Thorp,dialogue,tt1555031
Michael Craig,screenplay,tt0082614
Michael Craig,story,tt0082614
Lenore J. Coffee,adaptation,tt0015290
Ethel M. Dell,novel,tt0015290
Bernard McConville,adaptation,tt0015290
Scott Hetzel,story,tt1661902
Bradford Ropes,novel,tt0024609
Bradford Ropes,screenplay,tt0024609
Alexandra Gil,story,tt3112428
Desirée,original screenplay,tt2266703
Lorenzo d'Amico de Carvalho,cowriter,tt5757546
Yôji Yamada,screenplay,tt4065842
Emiko Hiramatsu,screenplay,tt4065842
Mike Thomas Smith,screenplay,tt1297819
Geoffrey Enthoven,screenplay,tt0297876
M.L. Martin,story,tt5150412
João Botelho,screenplay,tt1077102
Miguel Torga,excerpts,tt1077102
Sidney M. Goldin,scenario,tt0005607
Michael Legge,screenplay,tt1645988
Peter B. Kyne,screenplay,tt0012983
Peter B. Kyne,story,tt0012983
Peter B. Kyne,titles,tt0012983
Sanjay,story,tt1496816
Anthony Thurman,story,tt1928283
Cressida Cowell,"based upon the ""How to Train Your Dragon"" book series by",tt4191768
William Bayer,story,tt0100204
Monte Stettin,teleplay,tt0100204
George Klembith,screenplay,tt3919238
Tammy Klembith,screenplay,tt3919238
Thorsten Felden,screenplay,tt1950211
Thorsten Felden,story,tt1950211
