Rating,RatingSource,imdbID
 5.7/10, Internet Movie Database,tt0488892
 4.1/10, Internet Movie Database,tt3104930
44%, Rotten Tomatoes,tt3104930
 52/100, Metacritic,tt3104930
 4.7/10, Internet Movie Database,tt0046179
 7.0/10, Internet Movie Database,tt1194418
 5.8/10, Internet Movie Database,tt0249592
 5.7/10, Internet Movie Database,tt1712578
 5.6/10, Internet Movie Database,tt0170392
 5.6/10, Internet Movie Database,tt0182771
 7.9/10, Internet Movie Database,tt4423234
 5.6/10, Internet Movie Database,tt0393521
 6.7/10, Internet Movie Database,tt0055593
 5.0/10, Internet Movie Database,tt0401510
 6.3/10, Internet Movie Database,tt0430333
 6.8/10, Internet Movie Database,tt4164182
19%, Rotten Tomatoes,tt5149892
 3.5/10, Internet Movie Database,tt0126252
 4.2/10, Internet Movie Database,tt0386561
 6.3/10, Internet Movie Database,tt0035678
 5.6/10, Internet Movie Database,tt0475404
 6.0/10, Internet Movie Database,tt0311218
 5.6/10, Internet Movie Database,tt0225491
 5.7/10, Internet Movie Database,tt0404461
 6.7/10, Internet Movie Database,tt1874642
 6.8/10, Internet Movie Database,tt2375037
 6.8/10, Internet Movie Database,tt1540757
 6.6/10, Internet Movie Database,tt0002350
 5.8/10, Internet Movie Database,tt3113206
 6.5/10, Internet Movie Database,tt0204817
 5.5/10, Internet Movie Database,tt1895474
 7.8/10, Internet Movie Database,tt0356753
 6.6/10, Internet Movie Database,tt3137552
54%, Rotten Tomatoes,tt3137552
 56/100, Metacritic,tt3137552
 2.6/10, Internet Movie Database,tt3033160
 5.4/10, Internet Movie Database,tt0048294
 6.9/10, Internet Movie Database,tt0408295
 6.1/10, Internet Movie Database,tt0408334
 3.6/10, Internet Movie Database,tt0381631
 6.7/10, Internet Movie Database,tt0868990
 6.1/10, Internet Movie Database,tt0388160
 8.0/10, Internet Movie Database,tt2313197
100%, Rotten Tomatoes,tt2313197
 5.3/10, Internet Movie Database,tt0053418
 7.3/10, Internet Movie Database,tt1546038
 7.7/10, Internet Movie Database,tt0270992
 8.6/10, Internet Movie Database,tt0787443
 5.0/10, Internet Movie Database,tt1475205
 7.1/10, Internet Movie Database,tt4443924
 8.2/10, Internet Movie Database,tt4957650
 7.0/10, Internet Movie Database,tt0050136
 3.0/10, Internet Movie Database,tt0090356
 8.0/10, Internet Movie Database,tt0114742
 6.0/10, Internet Movie Database,tt0098709
 8.6/10, Internet Movie Database,tt1327804
 7.6/10, Internet Movie Database,tt1316072
 4.2/10, Internet Movie Database,tt2275551
 7.2/10, Internet Movie Database,tt0061536
 7.3/10, Internet Movie Database,tt1562467
 3.8/10, Internet Movie Database,tt0335415
 8.4/10, Internet Movie Database,tt0388876
 8.2/10, Internet Movie Database,tt1337720
 6.8/10, Internet Movie Database,tt1245362
 6.2/10, Internet Movie Database,tt0243370
 5.0/10, Internet Movie Database,tt0119304
31%, Rotten Tomatoes,tt0119304
 45/100, Metacritic,tt0119304
 7.3/10, Internet Movie Database,tt1600482
 7.1/10, Internet Movie Database,tt0209000
 8.2/10, Internet Movie Database,tt0493562
 8.0/10, Internet Movie Database,tt4763376
 8.8/10, Internet Movie Database,tt0479115
 8.6/10, Internet Movie Database,tt3691884
 5.4/10, Internet Movie Database,tt2246595
 4.3/10, Internet Movie Database,tt0006371
 5.4/10, Internet Movie Database,tt0036870
 7.0/10, Internet Movie Database,tt0924421
 6.3/10, Internet Movie Database,tt2338303
 4.0/10, Internet Movie Database,tt1863386
 7.3/10, Internet Movie Database,tt0141401
 8.5/10, Internet Movie Database,tt4645418
 3.1/10, Internet Movie Database,tt2195891
 8.4/10, Internet Movie Database,tt5638990
 7.2/10, Internet Movie Database,tt1354559
 6.7/10, Internet Movie Database,tt1711017
